origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Goya,San Roque,1494.5167008,101193.3395104,1050.3210138,103738.1772250
Goya,Santo Tome,1494.5167008,716039.5256385,5968.9673074,723503.0096467
Goya,Sauce,1494.5167008,300203.3443203,3541.5156726,305239.3766937
Itati,Capital,4472.0653505,73596.9363324,3607.4880025,81676.4896854
Itati,Bella Vista,4472.0653505,226370.3013949,15030.3476304,245872.7143758
Itati,Departartamento Beron de Astrada,4472.0653505,198518.9785038,6694.4310392,209685.4748935
Itati,Departamento concepcion,4472.0653505,177918.6476924,2051.5111523,184442.2241951
Itati,Curuzu Cuatia,4472.0653505,436590.8923452,3643.2733238,444706.2310195
Itati,Empedrado,4472.0653505,101831.1129792,5189.5280649,111492.7063945
Itati,Esquina,4472.0653505,519193.5784146,4349.8987111,528015.5424762
Itati,General Alvear,4472.0653505,667687.4407656,7655.6721382,679815.1782543
Itati,General Paz,4472.0653505,151149.2990586,6015.2852591,161636.6496682
Itati,Goya,4472.0653505,287420.7540760,1494.5167008,293387.3361272
Itati,Itati,4472.0653505,0.0000000,1494.5167008,293387.3361272
Itati,Ituzaingo,4472.0653505,798155.3922587,24557.9510498,827185.4086590
Itati,Lavalle,4472.0653505,272307.2915245,1678.7503915,278458.1072665
Itati,Mburucuya,4472.0653505,125797.0050456,3592.2605237,133861.3309197
Itati,Mercedes,4472.0653505,125797.0050456,3592.2605237,133861.3309197
Itati,Monte Caseros,4472.0653505,495505.1602639,6807.9618565,506785.1874710
Itati,Paso de los Libres,4472.0653505,528479.5401520,6472.8507322,539424.4562347
Itati,Saladas,4472.0653505,150138.3059515,9751.5790731,164361.9503750
Itati,San Cosme,4472.0653505,25861.0209505,6100.8763047,36433.9626057
Itati,San Luis del Palmar,4472.0653505,49058.3263900,8312.4536459,61842.8453864
Itati,San Martin,4472.0653505,597471.6379774,10757.3035760,612701.0069040
Itati,San Miguel,4472.0653505,176282.8276045,10516.2065832,191271.0995382
Itati,San Roque,4472.0653505,236963.1842862,1050.3210138,242485.5706504
Itati,Santo Tome,4472.0653505,851809.3704142,5968.9673074,862250.4030722
Itati,Sauce,4472.0653505,435973.1890961,3541.5156726,443986.7701192
Ituzaingo,Capital,24557.9510498,773635.6758111,3607.4880025,801801.1148634
Ituzaingo,Bella Vista,24557.9510498,601335.0948019,15030.3476304,640923.3934821
Ituzaingo,Departartamento Beron de Astrada,24557.9510498,815289.0556644,6694.4310392,846541.4377535
Ituzaingo,Departamento concepcion,24557.9510498,740334.1731332,2051.5111523,766943.6353353
Ituzaingo,Curuzu Cuatia,24557.9510498,361564.4999135,3643.2733238,389765.7242872
Ituzaingo,Empedrado,24557.9510498,738946.4461566,5189.5280649,768693.9252713
Ituzaingo,Esquina,24557.9510498,524825.8286118,4349.8987111,553733.6783727
Ituzaingo,General Alvear,24557.9510498,182337.5285373,7655.6721382,214551.1517254
Ituzaingo,General Paz,24557.9510498,767919.3762192,6015.2852591,798492.6125281
Ituzaingo,Goya,24557.9510498,662385.5474829,1494.5167008,688438.0152335
Ituzaingo,Itati,24557.9510498,798155.3922587,4472.0653505,827185.4086590
Ituzaingo,Ituzaingo,24557.9510498,0.0000000,4472.0653505,827185.4086590
Ituzaingo,Lavalle,24557.9510498,647272.0849314,1678.7503915,673508.7863728
Ituzaingo,Mburucuya,24557.9510498,688212.5304864,3592.2605237,716362.7420599
Ituzaingo,Mercedes,24557.9510498,688212.5304864,3592.2605237,716362.7420599
Ituzaingo,Monte Caseros,24557.9510498,348731.7187409,6807.9618565,380097.6316473
Ituzaingo,Paso de los Libres,24557.9510498,269675.8521067,6472.8507322,300706.6538888
Ituzaingo,Saladas,24557.9510498,648017.0863072,9751.5790731,682326.6164301
Ituzaingo,San Cosme,24557.9510498,772294.3713082,6100.8763047,802953.1986627
Ituzaingo,San Luis del Palmar,24557.9510498,749097.0658687,8312.4536459,781967.4705644
Ituzaingo,San Martin,24557.9510498,200683.7542812,10757.3035760,235999.0089071
Ituzaingo,San Miguel,24557.9510498,793052.9047651,10516.2065832,828127.0623981
Ituzaingo,San Roque,24557.9510498,561192.2079725,1050.3210138,586800.4800361
Ituzaingo,Santo Tome,24557.9510498,156941.8717509,5968.9673074,187468.7901082
Ituzaingo,Sauce,24557.9510498,441605.4392933,3541.5156726,469704.9060157
Lavalle,Capital,1678.7503915,247787.5750769,3607.4880025,253073.8134709
Lavalle,Bella Vista,1678.7503915,45936.9901296,15030.3476304,62646.0881515
Lavalle,Departartamento Beron de Astrada,1678.7503915,289440.9549302,6694.4310392,297814.1363609
Lavalle,Departamento concepcion,1678.7503915,214486.0723990,2051.5111523,218216.3339428
Lavalle,Curuzu Cuatia,1678.7503915,285707.5850179,3643.2733238,291029.6087333
Lavalle,Empedrado,1678.7503915,213098.3454224,5189.5280649,219966.6238788
Lavalle,Esquina,1678.7503915,368310.2710874,4349.8987111,374338.9201900
